EventUrl,EventName,EventDate,EventVenue,AllAvailableTickets
https://www.ticketmaster.com/itzy-the-1st-world-tour-checkmate-boston-massachusetts-11-10-2022/event/01005CD528ABBBC9,"ITZY The 1st World Tour ""Checkmate""",,"MGM Music Hall at Fenway, Boston, MA",127
https://www.ticketmaster.com/david-gray-white-ladder-the-20th-woodinville-washington-07-25-2022/event/0F005C47A7DE1EF7,David Gray White Ladder: The 20th Anniversary Tour,,"Chateau Ste Michelle Winery, Woodinville, WA",0
https://www.ticketmaster.com/the-b52s-washington-district-of-columbia-10-01-2022/event/15005C95D6CE5545,The B-52s,,"The Anthem, Washington, DC",0
https://www.ticketmaster.com/pittsburgh-steelers-vs-new-england-patriots-pittsburgh-pennsylvania-09-18-2022/event/16005C7EE2C05E6B,,09/18/2022,,1333
https://www.ticketmaster.com/mizzou-tigers-football-vs-university-of-columbia-missouri-10-01-2022/event/06005C939B98C1CE,Mizzou Tigers Football vs. University of Georgia Bulldogs Football,,"Faurot Field at Memorial Stadium, Columbia, MO",99
https://www.ticketmaster.com/brad-paisley-tucson-08-13-2022/event/Z7r9jZ1AdofQ_,Brad Paisley,08/13/2022,,16
https://www.ticketmaster.com/brad-paisley-temecula-california-08-20-2022/event/0A005C798F2B120D,Brad Paisley,08/20/2022,"Pechanga Resort Casino, Temecula, CA",0
https://www.ticketmaster.ca/papal-visit-papal-mass-messe-visite-edmonton-alberta-07-26-2022/event/11005CDBCE1F409A,Papal Visit - Papal Mass / Messe - Visite Papale,07/26/2022,"Commonwealth Stadium / Stade du Commonwealth, Edmonton, AB",0
https://www.ticketmaster.com/5-seconds-of-summer-take-my-new-york-new-york-07-13-2022/event/1D005B82DFCA30C0,5 Seconds of Summer: Take My Hand World Tour,07/13/2022,"The Rooftop at Pier 17, New York, NY",2
https://www.ticketmaster.com/tomorrow-x-together-grand-prairie-07-14-2022/event/Z7r9jZ1Ad3v0d,Tomorrow X Together,07/14/2022,,29
